"group.all" "pa" "lon" "lat" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6"
"1" 3 1 -35.019 -6.379 -10.8081376802568 7.91525274772836 0.437905540386716 -6.51901963070403 -0.772669273756902 -6.50213042856605
"2" 3 1 -34.858 -7.775 -11.9922535590825 6.48874434059128 0.625139805061753 -7.23377391755938 -0.479102771454379 -6.15734966160106
"3" 2 1 -34.897 -8.102 -11.748409967931 6.4575615690739 0.432397757367459 -6.02685235056285 -0.239539271093694 -5.43621602798698
"4" 3 1 -36.376 -10.421 -10.5882774892592 7.6463208687125 0.722188069908498 -6.1704068326269 -0.783119557400213 -6.12711900888178
"5" 3 1 -42.073 -2.722 -11.5469763782568 9.03769119030256 -1.25443342532665 -6.99685866707302 0.432093658648545 -7.38417286867167
"6" 3 1 -41.676 -2.92 -11.2291048208156 9.36195181853137 -1.25272536955226 -7.01173686087376 0.155618751432542 -7.58626027746751
"7" 2 1 -39.957 -3.033 -10.6586274944973 9.83464334771058 -1.05214041608894 -7.4707150436162 -0.722323938705309 -7.33997109553964
"8" 1 1 -38.574 -3.744 -11.1854785713918 7.98589686323702 -0.987327709649589 -6.12076031464561 -0.541200536101675 -5.5872287901518
"9" 3 1 -35.002 -7.835 -10.7769062678284 6.99274992294393 0.416610727624258 -6.33631623129305 -0.686292130698661 -6.04216120059027
"10" 2 1 -34.946 -7.999 -11.6776879446269 6.59960142783428 0.366360107626778 -6.48820989586176 -0.323524470544925 -5.74487728165785
"11" 1 1 -34.986 -8.298 -11.9958826197222 5.84243508556329 0.688355128398515 -6.10865943340885 -0.12652025334085 -5.30187195419505
"12" 3 1 -35.168 -8.577 -11.7212611646423 5.5261917283447 0.543766062201444 -6.37225277324044 -0.159118145900453 -5.28908842402548
"13" 2 1 -35.175 -8.724 -11.564543795893 5.46230782760178 0.467667486298526 -6.1770079956751 -0.209019802012045 -5.20571982370456
"14" 3 1 -35.307 -9.08 -11.1361642856679 6.5706329134141 0.531133714216925 -5.77811285995286 -0.951657362854544 -5.2751795681452
"15" 2 1 -35.514 -9.236 -11.2634422741994 6.48759713497315 0.467648415031445 -5.84003173685135 -0.354386350203082 -5.60018707447368
"17" 2 1 -35.954 -9.777 -11.2006988915183 6.67290309293931 0.444425913779985 -6.08596438793681 -0.174247753851192 -5.6644318984541
"18" 2 1 -35.73 -8.614 -9.51267436235366 6.48527053131849 0.217069529497135 -6.06706873139914 -0.719910738635191 -5.97441873727576
"19" 1 1 -38.72 -3.902 -10.4678763881222 7.98200850186847 -0.950379989699889 -6.3046198663573 -1.07814456970347 -5.83689533102226
"20" 3 1 -38.919 -4.214 -9.89351939169153 6.33312706412514 -0.845502773412669 -6.8902925969483 -0.681062269074285 -5.80302819608582
"21" 1 1 -36.414 -9.243 -9.26847641082586 6.22459620465308 0.188887870138547 -6.35126151146885 -0.236805382828863 -6.16189218392326
