"boot1","pa","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6"
0,1,-40.615,-19.921,-8.96110811452361,6.1142126378499,1.40630367668585,-7.38787716384204,-1.49827993296611,-5.79904402517011
0,1,-40.729,-20.016,-8.72149279748751,5.87764333994036,1.37790286396825,-7.61130417461295,-1.47019650532935,-5.79788881490149
0,1,-41.174,-20.303,-8.25623769632387,5.8375575058698,1.26637686002624,-8.37046086115307,-1.45173894532842,-5.96880188946268
0,1,-41.74,-20.493,-7.2750322703509,3.61264466898175,0.815643607043854,-8.96730487208507,-1.26071853487944,-5.53010421195826
0,1,-42.482,-20.701,-7.87811309250452,5.98075426772232,1.25906020031364,-9.3140886975542,-1.41820064178987,-6.13457421860654
1,1,-40.855,-17.082,-8.83017181705079,8.3850152111931,1.25442421236363,-7.26095226331892,-1.75963447985735,-6.92748545368421
0,1,-41.04,-18.73,-8.97265207278877,7.35952160737676,1.19558068784903,-7.92908565108578,-1.69248333651264,-6.34969867213677
1,1,-41.48,-18.879,-9.14066774073191,8.09903718988052,1.27222611699197,-8.19843986450179,-1.67096075659372,-6.51957753711557
1,1,-42.526,-19.499,-8.77826680130642,7.4286203053096,1.23226948563621,-8.84351249304869,-1.45796417503406,-6.1378252287481
0,1,-42.916,-20.263,-8.27656055574844,7.49950783028705,1.27533743936353,-8.69889815748509,-1.33996034847762,-6.15824239995063
1,1,-43.02,-20.502,-8.1949613102814,7.01628771046623,1.2951453203059,-8.72587370766649,-1.27177953784958,-5.93377533794396
1,1,-41.778,-17.614,-8.24132567582187,7.59188513266087,0.846693518016568,-8.23423563068984,-1.62760221184073,-6.69559378510889
1,1,-43.117,-19.847,-8.39925670299797,6.61291879437822,1.12306660219923,-9.12113671911036,-1.25961971933527,-5.7079922460643
0,1,-42.873,-20.778,-8.21344726865156,6.69957228953541,1.35079188601141,-8.75511904033095,-1.22885278946413,-5.92501814600386
0,1,-41.201,-15.178,-7.68534263182477,7.47920091033041,0.0913741693531672,-7.13152088048471,-1.60847154690201,-6.38974259816584
